DateTime,"(mm) Precipitation (gridMET) at -107.0671E,38.9968N, 2015-06-01 to 2020-10-01"
2/16/16,0
2/17/16,0
2/18/16,0
2/19/16,0.5417
2/20/16,0.3894
2/21/16,0
2/22/16,0
2/23/16,0.4053
2/24/16,0
2/25/16,0.2835
2/26/16,0.6047
2/27/16,11.8474
2/28/16,0.7617
2/29/16,0
3/1/16,2.1895
3/2/16,0
3/3/16,0
3/4/16,0
3/5/16,0
3/6/16,8.793
3/7/16,8.1823
3/8/16,2.207
3/9/16,0
3/10/16,2.4512
3/11/16,2.3291
3/12/16,0
3/13/16,2.2767
3/14/16,9.1506
3/15/16,5.3386
3/16/16,10.2497
3/17/16,0
3/18/16,0
3/19/16,0
3/20/16,0
3/21/16,4.4488
3/22/16,1.858
3/23/16,3.5939
3/24/16,4.8326
3/25/16,7.7375
3/26/16,2.4599
3/27/16,1.9714
3/28/16,2.6257
3/29/16,1.5091
3/30/16,2.2767
3/31/16,0.362
4/1/16,0
4/2/16,2.2692
4/3/16,2.3451
4/4/16,2.2523
4/5/16,0.5399
4/6/16,0
4/7/16,2.3029
4/8/16,2.3535
4/9/16,5.9471
4/10/16,0
4/11/16,0
4/12/16,2.4379
4/13/16,2.2101
4/14/16,2.2945
4/15/16,10.8819
4/16/16,2.9356
4/17/16,2.5728
4/18/16,5.1288
4/19/16,4.0153
4/20/16,4.6902
4/21/16,2.3535
4/22/16,2.3282
4/23/16,4.4455
4/24/16,4.4877
4/25/16,6.1495
4/26/16,8.5537
4/27/16,4.5046
4/28/16,8.9164
4/29/16,9.878
4/30/16,2.6749
5/1/16,2.1604
5/2/16,0
5/3/16,2.0073
5/4/16,0
5/5/16,1.7521
5/6/16,2.1604
5/7/16,1.1993
5/8/16,10.8701
5/9/16,11.0232
5/10/16,14.9358
5/11/16,0
5/12/16,1.9052
5/13/16,2.1689
5/14/16,2.0669
5/15/16,8.7522
5/16/16,12.1715
5/17/16,3.9636
5/18/16,1.1738
5/19/16,0
5/20/16,2.0498
5/21/16,0
5/22/16,0
5/23/16,0
5/24/16,0
5/25/16,0
5/26/16,0.5359
5/27/16,4.3804
5/28/16,2.8919
5/29/16,0
5/30/16,0.2637
5/31/16,1.5375
6/1/16,0
6/2/16,0
6/3/16,0
6/4/16,0
6/5/16,0
6/6/16,0
6/7/16,0
6/8/16,0
6/9/16,0
6/10/16,0
6/11/16,0
6/12/16,0.5414
6/13/16,2.1407
6/14/16,0
6/15/16,0
6/16/16,0
6/17/16,0
6/18/16,0
6/19/16,0
6/20/16,0
6/21/16,0
6/22/16,2.2407
6/23/16,3.0403
6/24/16,0
6/25/16,0
6/26/16,0
6/27/16,0
6/28/16,0
6/29/16,0.5747
6/30/16,3.8125
7/1/16,13.7012
7/2/16,12.9728
7/3/16,1.7343
7/4/16,0
7/5/16,0
7/6/16,0
7/7/16,0
7/8/16,0
7/9/16,0
7/10/16,0
7/11/16,0
7/12/16,0
7/13/16,0
7/14/16,0
7/15/16,0
7/16/16,0
7/17/16,0
7/18/16,5.7406
7/19/16,2.931
7/20/16,2.2199
7/21/16,3.9369
7/22/16,0
7/23/16,0
7/24/16,0
7/25/16,0
7/26/16,0
7/27/16,0
7/28/16,0
7/29/16,0
7/30/16,0
7/31/16,1.692
8/1/16,0
8/2/16,0
8/3/16,0.6348
8/4/16,7.0495
8/5/16,5.4766
8/6/16,5.7135
8/7/16,6.661
8/8/16,1.3455
8/9/16,0.8812
8/10/16,2.7573
8/11/16,0
8/12/16,0
8/13/16,0
8/14/16,2.9563
8/15/16,0
8/16/16,0
8/17/16,0
8/18/16,0
8/19/16,0
8/20/16,0
8/21/16,0
8/22/16,2.1982
8/23/16,3.8848
8/24/16,0
8/25/16,7.9686
8/26/16,3.3921
8/27/16,1.9329
8/28/16,0
8/29/16,14.2222
8/30/16,5.4103
8/31/16,7.7307
9/1/16,3.7825
9/2/16,2.9057
9/3/16,3.4816
9/4/16,0.98
9/5/16,2.0718
9/6/16,0
9/7/16,0
9/8/16,0
9/9/16,0
9/10/16,0
9/11/16,0.3095
9/12/16,0
9/13/16,0.5244
9/14/16,0.7307
9/15/16,2.0718
9/16/16,0
9/17/16,0
9/18/16,2.0718
9/19/16,3.963
9/20/16,2.1234
9/21/16,0.4728
9/22/16,0
9/23/16,4.0404
9/24/16,8.8373
9/25/16,2.1406
9/26/16,7.8143
9/27/16,1.917
9/28/16,5.1408
9/29/16,0
9/30/16,0
10/1/16,0
10/2/16,0
10/3/16,0
10/4/16,0
10/5/16,0.7946
10/6/16,1.6477
10/7/16,0
10/8/16,0
10/9/16,0.3407
10/10/16,4.6559
10/11/16,0.8987
10/12/16,0
10/13/16,0
10/14/16,2.7982
10/15/16,1.5525
10/16/16,0
10/17/16,0
10/18/16,0
10/19/16,0
10/20/16,0
10/21/16,0
10/22/16,1.3622
10/23/16,0
10/24/16,4.3727
10/25/16,0.6313
10/26/16,0
10/27/16,0
10/28/16,4.438
10/29/16,0
10/30/16,4.3715
10/31/16,0
11/1/16,0.452
11/2/16,0
11/3/16,2.3346
11/4/16,4.52
11/5/16,0.435
11/6/16,0
11/7/16,0
11/8/16,0
11/9/16,0
11/10/16,0
11/11/16,0
11/12/16,0
11/13/16,0
11/14/16,0
11/15/16,0
11/16/16,4.5853
11/17/16,4.3029
11/18/16,0
11/19/16,11.1049
11/20/16,0.7666
11/21/16,4.0587
11/22/16,1.1245
11/23/16,6.9827
11/24/16,0.3935
11/25/16,2.2888
11/26/16,10.9557
11/27/16,19.4038
11/28/16,6.5409
11/29/16,0
11/30/16,2.3676
12/1/16,8.8285
12/2/16,0.2655
12/3/16,0
12/4/16,8.9358
12/5/16,0
12/6/16,3.1009
12/7/16,0
12/8/16,14.0615
12/9/16,9.0906
12/10/16,16.0313
12/11/16,10.9775
12/12/16,0
12/13/16,0.3804
12/14/16,9.4896
12/15/16,12.0537
12/16/16,61.6303
12/17/16,0
12/18/16,2.16
12/19/16,6.649
12/20/16,4.626
12/21/16,2.2826
12/22/16,15.6779
12/23/16,11.2869
12/24/16,3.314
12/25/16,0.5783
12/26/16,4.5034
12/27/16,1.0229
12/28/16,0
12/29/16,2.3637
12/30/16,2.1067
12/31/16,0
1/1/17,7.3
1/2/17,22.9
1/3/17,14.4
1/4/17,26.5
1/5/17,27.3
1/6/17,0.3
1/7/17,4.8
1/8/17,25.3
1/9/17,66.8
1/10/17,16.2
1/11/17,32.7
1/12/17,22.2
1/13/17,7.1
1/14/17,4.7
1/15/17,2.1
1/16/17,0
1/17/17,1
1/18/17,2.3
1/19/17,6.6
1/20/17,8.9
1/21/17,2.1
1/22/17,14.5
1/23/17,33.4
1/24/17,2.2
1/25/17,4.5
1/26/17,0
1/27/17,0.9
1/28/17,2.4
1/29/17,0
1/30/17,0
1/31/17,0
2/1/17,0
2/2/17,0
2/3/17,2.8
2/4/17,2
2/5/17,0
2/6/17,4
2/7/17,22
2/8/17,2.7
2/9/17,0.5
2/10/17,10.6
2/11/17,30.7
2/12/17,8.2
2/13/17,0
2/14/17,0
2/15/17,0
2/16/17,0.5
2/17/17,0.3
2/18/17,0
2/19/17,3
2/20/17,3
2/21/17,0
2/22/17,1.9
2/23/17,5.1
2/24/17,2.2
2/25/17,4
2/26/17,5
2/27/17,22.1
2/28/17,15
3/1/17,0
3/2/17,0
3/3/17,0
3/4/17,0
3/5/17,0.5
3/6/17,8.2
3/7/17,0
3/8/17,0
3/9/17,6.2
3/10/17,4.1
3/11/17,6.1
3/12/17,2.1
3/13/17,4.1
3/14/17,4.1
3/15/17,0
3/16/17,0
3/17/17,0
3/18/17,0
3/19/17,0
3/20/17,0
3/21/17,0
3/22/17,0
3/23/17,4.2
3/24/17,3
3/25/17,2.2
3/26/17,0
3/27/17,3.1
3/28/17,11.8
3/29/17,6.4
3/30/17,0.7
3/31/17,1
4/1/17,0
4/2/17,4.5
4/3/17,1.1
4/4/17,1.2
4/5/17,8.8
4/6/17,4.3
4/7/17,4.2
4/8/17,0.5
4/9/17,0
4/10/17,0
4/11/17,0
4/12/17,0
4/13/17,0
4/14/17,0
4/15/17,0
4/16/17,0
4/17/17,0
4/18/17,0
4/19/17,0
4/20/17,2.7
4/21/17,3.9
4/22/17,0
4/23/17,0.8
4/24/17,10.4
4/25/17,8.6
4/26/17,4.4
4/27/17,10.3
4/28/17,8.5
4/29/17,0.4
4/30/17,0
5/1/17,0
5/2/17,2.5
5/3/17,5.8
5/4/17,2.1
5/5/17,0
5/6/17,0
5/7/17,0
5/8/17,0
5/9/17,2.8
5/10/17,2.4
5/11/17,2.1
5/12/17,0
5/13/17,0
5/14/17,0
5/15/17,0
5/16/17,0
5/17/17,4.1
5/18/17,14.1
5/19/17,2.7
5/20/17,4.1
5/21/17,8.2
5/22/17,5
5/23/17,0
5/24/17,0
5/25/17,2.8
5/26/17,4.1
5/27/17,2.1
5/28/17,2
5/29/17,0
5/30/17,0
5/31/17,0
6/1/17,1.3
6/2/17,0.8
6/3/17,0
6/4/17,0
6/5/17,0
6/6/17,0
6/7/17,0
6/8/17,0
6/9/17,0
6/10/17,0
6/11/17,0
6/12/17,0
6/13/17,0
6/14/17,0
6/15/17,0
6/16/17,0
6/17/17,0
6/18/17,0
6/19/17,0
6/20/17,0
6/21/17,0
6/22/17,0
6/23/17,0
6/24/17,0
6/25/17,0
6/26/17,0
6/27/17,0
6/28/17,0
6/29/17,0
6/30/17,0
7/1/17,0
7/2/17,0
7/3/17,0
7/4/17,0
7/5/17,0
7/6/17,0
7/7/17,0
7/8/17,0
7/9/17,0
7/10/17,0.4
7/11/17,3.7
7/12/17,3.8
7/13/17,6.8
7/14/17,2.8
7/15/17,4.4
7/16/17,0
7/17/17,0
7/18/17,0.8
7/19/17,26.1
7/20/17,0
7/21/17,0.6
7/22/17,0
7/23/17,3.7
7/24/17,8.3
7/25/17,6.5
7/26/17,0
7/27/17,0
7/28/17,7.7
7/29/17,9.5
7/30/17,1.9
7/31/17,0
8/1/17,0
8/2/17,1.1
8/3/17,0.7
8/4/17,0.9
8/5/17,1.5
8/6/17,0.9
8/7/17,6.5
8/8/17,3.6
8/9/17,5.5
8/10/17,6.3
8/11/17,0
8/12/17,0
8/13/17,1.1
8/14/17,0
8/15/17,0
8/16/17,0
8/17/17,0
8/18/17,0
8/19/17,0
8/20/17,1.6
8/21/17,0
8/22/17,0
8/23/17,0
8/24/17,0
8/25/17,0
8/26/17,0
8/27/17,0
8/28/17,0
8/29/17,0
8/30/17,0
8/31/17,3
9/1/17,0.3
9/2/17,0
9/3/17,0
9/4/17,0
9/5/17,0
9/6/17,0
9/7/17,0
9/8/17,0
9/9/17,0.9
9/10/17,1.8
9/11/17,5
9/12/17,0
9/13/17,0
9/14/17,16.3
9/15/17,2.7
9/16/17,0.8
9/17/17,4.6
9/18/17,0
9/19/17,0
9/20/17,0
9/21/17,0
9/22/17,0.8
9/23/17,4.7
9/24/17,0
9/25/17,0.7
9/26/17,1.2
9/27/17,9.9
9/28/17,1.7
9/29/17,5.1
9/30/17,7.5
10/1/17,17.8
10/2/17,7.3
10/3/17,4.4
10/4/17,0
10/5/17,0
10/6/17,0
10/7/17,0
10/8/17,2.1
10/9/17,7.1
10/10/17,0
10/11/17,0
10/12/17,0
10/13/17,0
10/14/17,0
10/15/17,0
10/16/17,0
10/17/17,2.2
10/18/17,2.4
10/19/17,2.4
10/20/17,3.6
10/21/17,0
10/22/17,0
10/23/17,0
10/24/17,0
10/25/17,0
10/26/17,0
10/27/17,2.2
10/28/17,0
10/29/17,0
10/30/17,2.8
10/31/17,0
11/1/17,0
11/2/17,0
11/3/17,2.5
11/4/17,2.9
11/5/17,0.6
11/6/17,7.1
11/7/17,2.2
11/8/17,4.8
11/9/17,2.3
11/10/17,2.3
11/11/17,0
11/12/17,0
11/13/17,0
11/14/17,0
11/15/17,0
11/16/17,2.7
11/17/17,45.8
11/18/17,4.6
11/19/17,0
11/20/17,7.2
11/21/17,0.7
11/22/17,2.3
11/23/17,0
11/24/17,0
11/25/17,0
11/26/17,0
11/27/17,0
11/28/17,0
11/29/17,0
11/30/17,0
12/1/17,0
12/2/17,0
12/3/17,2.1
12/4/17,0
12/5/17,0
12/6/17,0
12/7/17,0
12/8/17,0
12/9/17,0
12/10/17,0
12/11/17,0
12/12/17,0
12/13/17,0.8
12/14/17,0
12/15/17,0
12/16/17,0
12/17/17,0
12/18/17,0
12/19/17,0
12/20/17,0.8
12/21/17,4.5
12/22/17,0.4
12/23/17,2.9
12/24/17,4.7
12/25/17,14
12/26/17,0
12/27/17,0
12/28/17,0
12/29/17,0
12/30/17,0
12/31/17,0
1/1/18,0
1/2/18,0
1/3/18,0
1/4/18,0
1/5/18,2.1
1/6/18,7.8
1/7/18,2
1/8/18,4.2
1/9/18,2.1
1/10/18,12.4
1/11/18,4.2
1/12/18,4.4
1/13/18,2.1
1/14/18,0
1/15/18,0
1/16/18,0
1/17/18,2.1
1/18/18,4.2
1/19/18,0
1/20/18,3.6
1/21/18,0
1/22/18,8.2
1/23/18,0
1/24/18,2.1
1/25/18,4.2
1/26/18,8.5
1/27/18,0
1/28/18,0
1/29/18,0
1/30/18,2.2
1/31/18,0.6
2/1/18,0
2/2/18,0
2/3/18,0
2/4/18,0
2/5/18,6.5
2/6/18,2.2
2/7/18,2.1
2/8/18,0
2/9/18,2.1
2/10/18,10.5
2/11/18,0.4
2/12/18,21.1
2/13/18,11
2/14/18,6.2
2/15/18,26.9
2/16/18,2.2
2/17/18,0
2/18/18,2.1
2/19/18,10.4
2/20/18,12.9
2/21/18,2.3
2/22/18,4.3
2/23/18,8.3
2/24/18,1.9
2/25/18,4.3
2/26/18,4.5
2/27/18,2.2
2/28/18,0
3/1/18,0
3/2/18,2
3/3/18,2.1
3/4/18,5.4
3/5/18,0
3/6/18,0
3/7/18,0
3/8/18,2.1
3/9/18,0
3/10/18,0
3/11/18,0
3/12/18,0
3/13/18,0
3/14/18,2.1
3/15/18,2.9
3/16/18,9.8
3/17/18,4.4
3/18/18,1.6
3/19/18,4
3/20/18,0
3/21/18,0
3/22/18,8.3
3/23/18,34.3
3/24/18,2.2
3/25/18,0
3/26/18,0
3/27/18,0
3/28/18,2
3/29/18,2.1
3/30/18,2
3/31/18,0
4/1/18,0
4/2/18,0.5
4/3/18,0
4/4/18,0
4/5/18,2.2
4/6/18,8.4
4/7/18,23.6
4/8/18,17.1
4/9/18,4.2
4/10/18,2.6
4/11/18,0
4/12/18,0.9
4/13/18,1.3
4/14/18,6.9
4/15/18,2.3
4/16/18,0
4/17/18,0
4/18/18,0
4/19/18,3.5
4/20/18,18.8
4/21/18,4.4
4/22/18,2.4
4/23/18,2.1
4/24/18,2.3
4/25/18,4.5
4/26/18,0
4/27/18,2.1
4/28/18,0.3
4/29/18,0
4/30/18,0
5/1/18,2
5/2/18,2.7
5/3/18,9
5/4/18,4
5/5/18,0
5/6/18,2
5/7/18,0
5/8/18,0
5/9/18,0
5/10/18,0
5/11/18,0
5/12/18,0
5/13/18,0
5/14/18,0
5/15/18,0
5/16/18,0
5/17/18,0
5/18/18,0
5/19/18,0
5/20/18,0
5/21/18,0
5/22/18,0
5/23/18,0
5/24/18,0
5/25/18,3.7
5/26/18,0
5/27/18,3.7
5/28/18,0
5/29/18,0
5/30/18,0.3
5/31/18,3.1
6/1/18,0
6/2/18,0
6/3/18,0
6/4/18,1.6
6/5/18,0
6/6/18,1.6
6/7/18,0
6/8/18,0
6/9/18,0
6/10/18,0
6/11/18,0
6/12/18,0
6/13/18,0
6/14/18,0
6/15/18,0
6/16/18,4
6/17/18,3.2
6/18/18,0
6/19/18,0
6/20/18,0
6/21/18,0
6/22/18,0
6/23/18,0
6/24/18,0
6/25/18,0
6/26/18,0
6/27/18,0
6/28/18,0
6/29/18,0
6/30/18,0
7/1/18,0
7/2/18,0
7/3/18,0
7/4/18,0
7/5/18,0
7/6/18,0
7/7/18,1
7/8/18,10.1
7/9/18,0
7/10/18,1.1
7/11/18,2.3
7/12/18,1.1
7/13/18,0
7/14/18,2.2
7/15/18,1.3
7/16/18,0
7/17/18,0
7/18/18,0
7/19/18,0
7/20/18,0
7/21/18,2.5
7/22/18,0.8
7/23/18,0.5
7/24/18,0
7/25/18,0
7/26/18,0
7/27/18,0.4
7/28/18,3.9
7/29/18,0
7/30/18,0
7/31/18,0
8/1/18,0
8/2/18,0
8/3/18,3.2
8/4/18,1.4
8/5/18,1.7
8/6/18,0
8/7/18,0
8/8/18,0
8/9/18,0
8/10/18,0
8/11/18,0
8/12/18,0
8/13/18,0
8/14/18,0
8/15/18,0
8/16/18,0.9
8/17/18,0.9
8/18/18,1.8
8/19/18,1.6
8/20/18,5
8/21/18,4.5
8/22/18,4.3
8/23/18,1.6
8/24/18,6.1
8/25/18,0.3
8/26/18,1.2
8/27/18,0
8/28/18,0
8/29/18,0
8/30/18,0
8/31/18,0
9/1/18,0
9/2/18,0
9/3/18,0
9/4/18,0
9/5/18,5.9
9/6/18,4.2
9/7/18,4.1
9/8/18,0
9/9/18,0
9/10/18,2.2
9/11/18,0
9/12/18,0
9/13/18,0
9/14/18,0
9/15/18,0
9/16/18,0
9/17/18,0
9/18/18,0
9/19/18,2.4
9/20/18,0
9/21/18,0
9/22/18,0
9/23/18,0
9/24/18,0.6
9/25/18,0
9/26/18,0
9/27/18,0
9/28/18,2.3
9/29/18,0
9/30/18,4.6
10/1/18,1.3
10/2/18,23.6
10/3/18,16.2
10/4/18,12.2
10/5/18,4.6
10/6/18,2.4
10/7/18,2.8
10/8/18,3.6
10/9/18,3.1
10/10/18,23.4
10/11/18,24.2
10/12/18,0
10/13/18,4.7
10/14/18,0.6
10/15/18,2.2
10/16/18,2.7
10/17/18,2.9
10/18/18,1.1
10/19/18,0
10/20/18,0
10/21/18,0
10/22/18,4.8
10/23/18,1.2
10/24/18,0
10/25/18,0
10/26/18,0
10/27/18,0
10/28/18,0
10/29/18,0
10/30/18,2.4
10/31/18,2.4
11/1/18,4.8
11/2/18,2.7
11/3/18,2.1
11/4/18,12.6
11/5/18,0
11/6/18,0
11/7/18,0
11/8/18,0
11/9/18,2.2
11/10/18,0.5
11/11/18,0.3
11/12/18,0
11/13/18,0.4
11/14/18,2.3
11/15/18,0
11/16/18,0
11/17/18,1.2
11/18/18,0
11/19/18,2.3
11/20/18,0
11/21/18,0
11/22/18,9.3
11/23/18,4.7
11/24/18,24.2
11/25/18,2.1
11/26/18,4.7
11/27/18,2.5
11/28/18,6.8
11/29/18,2.3
11/30/18,5.9
12/1/18,5
12/2/18,7.3
12/3/18,2.5
12/4/18,2.4
12/5/18,7.7
12/6/18,5
12/7/18,0
12/8/18,0
12/9/18,0
12/10/18,4.8
12/11/18,0
12/12/18,2.7
12/13/18,2.4
12/14/18,2.5
12/15/18,0
12/16/18,0
12/17/18,2.4
12/18/18,0
12/19/18,0
12/20/18,0
12/21/18,4.9
12/22/18,0
12/23/18,4.7
12/24/18,5
12/25/18,4.6
12/26/18,2.4
12/27/18,0.4
12/28/18,0.5
12/29/18,4.9
12/30/18,2.6
12/31/18,7.1
1/1/19,0
1/2/19,4.6
1/3/19,4.8
1/4/19,0
1/5/19,2.3
1/6/19,18.8
1/7/19,13.8
1/8/19,2.4
1/9/19,0
1/10/19,2.3
1/11/19,0.5
1/12/19,0
1/13/19,0
1/14/19,0
1/15/19,4.7
1/16/19,23.6
1/17/19,15.8
1/18/19,15.8
1/19/19,2.4
1/20/19,0
1/21/19,6.5
1/22/19,4.6
1/23/19,3
1/24/19,6.9
1/25/19,3.4
1/26/19,0
1/27/19,0
1/28/19,0
1/29/19,0
1/30/19,0.5
1/31/19,0
2/1/19,0
2/2/19,2.1
2/3/19,28
2/4/19,7.9
2/5/19,12.8
2/6/19,24.2
2/7/19,2.5
2/8/19,3.7
2/9/19,1.2
2/10/19,0
2/11/19,0
2/12/19,1.4
2/13/19,4.3
2/14/19,31
2/15/19,1.6
2/16/19,3.3
2/17/19,2.2
2/18/19,2.6
2/19/19,1.9
2/20/19,1.7
2/21/19,2.3
2/22/19,6.1
2/23/19,3.2
2/24/19,1.3
2/25/19,0
2/26/19,3.7
2/27/19,0.4
2/28/19,0
3/1/19,2.3
3/2/19,13.4
3/3/19,5.9
3/4/19,0.5
3/5/19,4.4
3/6/19,52.8
3/7/19,20.8
3/8/19,34.5
3/9/19,3.8
3/10/19,1.3
3/11/19,4.5
3/12/19,26.5
3/13/19,3.5
3/14/19,1.5
3/15/19,0
3/16/19,0
3/17/19,0
3/18/19,0
3/19/19,0
3/20/19,0
3/21/19,3.1
3/22/19,2.9
3/23/19,2.6
3/24/19,1.9
3/25/19,0
3/26/19,0
3/27/19,0
3/28/19,0
3/29/19,4.1
3/30/19,0
3/31/19,0
4/1/19,0.9
4/2/19,1.9
4/3/19,3.3
4/4/19,1.8
4/5/19,0.3
4/6/19,1
4/7/19,0
4/8/19,0
4/9/19,0.8
4/10/19,3.5
4/11/19,0.5
4/12/19,1.8
4/13/19,2.7
4/14/19,1.9
4/15/19,1.8
4/16/19,0
4/17/19,0
4/18/19,0
4/19/19,0
4/20/19,0
4/21/19,0
4/22/19,1.8
4/23/19,0
4/24/19,0
4/25/19,0
4/26/19,5.6
4/27/19,5.3
4/28/19,12.5
4/29/19,30.1
4/30/19,21.9
5/1/19,18.5
5/2/19,2.6
5/3/19,0
5/4/19,2.5
5/5/19,0
5/6/19,0
5/7/19,0
5/8/19,6.9
5/9/19,13.4
5/10/19,3
5/11/19,5
5/12/19,0
5/13/19,2.6
5/14/19,0
5/15/19,0
5/16/19,1.5
5/17/19,5.9
5/18/19,7
5/19/19,3.5
5/20/19,24.2
5/21/19,17.8
5/22/19,10.5
5/23/19,5.3
5/24/19,6.8
5/25/19,5
5/26/19,0
5/27/19,3.3
5/28/19,2.7
5/29/19,4
5/30/19,4.9
5/31/19,0
6/1/19,0
6/2/19,0.6
6/3/19,0
6/4/19,1.7
6/5/19,0.3
6/6/19,0
6/7/19,0
6/8/19,0
6/9/19,0
6/10/19,0
6/11/19,0
6/12/19,0
6/13/19,0.7
6/14/19,0
6/15/19,0
6/16/19,0.4
6/17/19,0.6
6/18/19,5.9
6/19/19,4.4
6/20/19,0.3
6/21/19,2.1
6/22/19,13
6/23/19,2.4
6/24/19,1.8
6/25/19,0
6/26/19,0
6/27/19,0
6/28/19,0
6/29/19,0
6/30/19,2.2
7/1/19,1.2
7/2/19,4.6
7/3/19,0
7/4/19,1.1
7/5/19,0
7/6/19,0
7/7/19,0
7/8/19,0
7/9/19,0
7/10/19,0
7/11/19,0
7/12/19,0
7/13/19,1.9
